upd    1 | step    2048 | mean_ep_len  229.0 | mean_ep_rew  229.0 | pg_loss -0.040 | v_loss 124.392 | ent 2.188 | clipfrac 0.048 | sps 4064
upd   87 | step  178176 | mean_ep_len  301.9 | mean_ep_rew  301.9 | pg_loss +0.020 | v_loss 56.346 | ent 2.058 | clipfrac 0.049 | sps 4375
upd   88 | step  180224 | mean_ep_len  282.9 | mean_ep_rew  282.9 | pg_loss -0.027 | v_loss 63.069 | ent 2.077 | clipfrac 0.020 | sps 4375
upd   89 | step  182272 | mean_ep_len  280.5 | mean_ep_rew  280.5 | pg_loss -0.018 | v_loss 61.426 | ent 2.098 | clipfrac 0.025 | sps 4378
upd   90 | step  184320 | mean_ep_len  274.5 | mean_ep_rew  274.5 | pg_loss +0.008 | v_loss 57.864 | ent 2.090 | clipfrac 0.059 | sps 4378
upd   91 | step  186368 | mean_ep_len  282.1 | mean_ep_rew  282.1 | pg_loss +0.004 | v_loss 70.697 | ent 2.050 | clipfrac 0.035 | sps 4379
upd   92 | step  188416 | mean_ep_len  311.7 | mean_ep_rew  311.7 | pg_loss +0.029 | v_loss 57.926 | ent 2.066 | clipfrac 0.126 | sps 4381
upd   93 | step  190464 | mean_ep_len  316.8 | mean_ep_rew  316.8 | pg_loss -0.021 | v_loss 56.953 | ent 2.085 | clipfrac 0.069 | sps 4384
upd   94 | step  192512 | mean_ep_len  331.3 | mean_ep_rew  331.3 | pg_loss -0.015 | v_loss 48.357 | ent 2.110 | clipfrac 0.025 | sps 4388
upd   95 | step  194560 | mean_ep_len  306.9 | mean_ep_rew  306.9 | pg_loss -0.009 | v_loss 64.851 | ent 2.098 | clipfrac 0.001 | sps 4389
upd   96 | step  196608 | mean_ep_len  343.2 | mean_ep_rew  343.2 | pg_loss +0.006 | v_loss 54.507 | ent 2.049 | clipfrac 0.023 | sps 4387
upd   97 | step  198656 | mean_ep_len  310.5 | mean_ep_rew  310.5 | pg_loss -0.021 | v_loss 54.935 | ent 2.052 | clipfrac 0.014 | sps 4389
upd   98 | step  200704 | mean_ep_len  313.8 | mean_ep_rew  313.8 | pg_loss -0.024 | v_loss 56.647 | ent 2.037 | clipfrac 0.076 | sps 4392
upd   99 | step  202752 | mean_ep_len  250.9 | mean_ep_rew  250.9 | pg_loss -0.021 | v_loss 48.894 | ent 2.031 | clipfrac 0.022 | sps 4395
upd  100 | step  204800 | mean_ep_len  241.8 | mean_ep_rew  241.8 | pg_loss -0.012 | v_loss 46.405 | ent 2.019 | clipfrac 0.044 | sps 4399
upd  101 | step  206848 | mean_ep_len  255.9 | mean_ep_rew  255.9 | pg_loss +0.004 | v_loss 68.123 | ent 2.008 | clipfrac 0.023 | sps 4402
upd  102 | step  208896 | mean_ep_len  262.0 | mean_ep_rew  262.0 | pg_loss -0.016 | v_loss 50.736 | ent 2.028 | clipfrac 0.101 | sps 4403
upd  103 | step  210944 | mean_ep_len  276.4 | mean_ep_rew  276.4 | pg_loss +0.009 | v_loss 77.016 | ent 2.060 | clipfrac 0.111 | sps 4405
upd  104 | step  212992 | mean_ep_len  303.6 | mean_ep_rew  303.6 | pg_loss +0.012 | v_loss 52.762 | ent 2.015 | clipfrac 0.056 | sps 4406
upd  105 | step  215040 | mean_ep_len  299.8 | mean_ep_rew  299.8 | pg_loss -0.017 | v_loss 52.935 | ent 2.030 | clipfrac 0.014 | sps 4408
